"date","btc_close","eth_close","btc_ret","eth_ret","btc_close_cg","btc_mcap_cg","btc_volume_cg","eth_close_cg","eth_mcap_cg","eth_volume_cg","btc_volume_yf","eth_volume_yf","price_source","in_sample"
2024-03-26,69987.8359375,3587.5048828125,0.00041477860656336,-0.000941410852490776,NA,NA,NA,NA,NA,NA,36010437368,18505553577,"Yahoo Finance",TRUE
2024-03-27,69455.34375,3500.115234375,-0.00763744454295079,-0.0246610500870066,NA,NA,NA,NA,NA,NA,40827113309,18753082145,"Yahoo Finance",TRUE
2024-03-28,70744.953125,3561.2939453125,0.0183971899718802,0.0173280545494112,NA,NA,NA,NA,NA,NA,34374900617,16419674157,"Yahoo Finance",TRUE
2024-03-29,69892.828125,3511.80615234375,-0.0121181580122034,-0.0139934681623028,NA,NA,NA,NA,NA,NA,25230851763,12712701619,"Yahoo Finance",TRUE
2024-03-30,69645.3046875,3507.9443359375,-0.0035477570486826,-0.00110027181230699,NA,NA,NA,NA,NA,NA,17130241883,9389066783,"Yahoo Finance",TRUE
2024-03-31,71333.6484375,3647.8564453125,0.0239528586963029,0.039109513188567,NA,NA,NA,NA,NA,NA,20050941373,10499881424,"Yahoo Finance",TRUE
2024-04-01,69702.1484375,3505.03002929688,-0.0231370023332591,-0.0399406318143036,NA,NA,NA,NA,NA,NA,34873527352,16002098681,"Yahoo Finance",TRUE
2024-04-02,65446.97265625,3277.23461914062,-0.0629909043698849,-0.0671991251460806,NA,NA,NA,NA,NA,NA,50705240709,22076539151,"Yahoo Finance",TRUE
2024-04-03,65980.8125,3311.44189453125,0.00812374307331964,0.0103837493547836,NA,NA,NA,NA,NA,NA,34488018367,16010734587,"Yahoo Finance",TRUE
2024-04-04,68508.84375,3330.04052734375,0.037598862711862,0.00560076207350058,NA,NA,NA,NA,NA,NA,34439527442,14476330517,"Yahoo Finance",TRUE
2024-04-05,67837.640625,3318.88525390625,-0.00984563041828856,-0.00335551464142725,NA,NA,NA,NA,NA,NA,33748230056,15214447092,"Yahoo Finance",TRUE
